"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2015",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2016",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2017",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2018",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2019",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2020",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2021",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2022",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2023",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2024",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2015",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2016",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2017",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2018",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2019",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2020",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2021",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2022",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2023",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2024",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2015",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2016",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2017",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2018",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2019",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2020",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2022",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2023",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2024",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2015",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2016",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2017",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2018",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2019",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2020",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2021",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2022",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2023",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2015",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2016",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2017",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2018",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2019",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2020",0.50
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2021",0.50
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2022",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2023",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","All","2024",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2015",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2016",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2017",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2018",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2019",20.00
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2020",0.50
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2021",0.50
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2022",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2023",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","On-grid","2024",1.20
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Marine energy","Electricity Generation (GWh)","All","2015",13.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2016",19.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2017",6.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2018",20.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2019",1.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2020",1.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2021",1.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2022",1.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2023",1.00
"Canada","Marine energy","Electricity Generation (GWh)","All","2024",-
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2015",13.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2016",19.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2017",6.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2018",20.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2019",1.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2020",1.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2021",1.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2022",1.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2023",1.00
"Canada","Marine energy","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Marine energy","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2015",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2016",2385.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2017",2465.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2018",2477.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2019",2233.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2020",2279.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2021",2298.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2022",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2023",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","All","2024",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2015",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2016",2385.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2017",2465.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2018",2477.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2019",2233.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",2279.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2021",2298.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2022",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2023",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2024",2318.00
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2015",8095.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2016",10847.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2017",10377.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2018",10068.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2019",9863.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2020",9142.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2021",9132.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2022",8145.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2023",8463.00
"Canada","Solid biofuels","Electricity Generation (GWh)","All","2024",-
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2015",8095.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2016",10847.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2017",10377.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2018",10068.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2019",9863.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2020",9142.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2021",9132.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2022",8145.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2023",8463.00
"Canada","Solid biofuels","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Solid biofuels","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2015",43.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2016",45.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2017",46.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2018",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2019",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2020",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2021",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2022",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2023",38.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2024",38.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2015",43.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2016",45.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2017",46.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2018",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2019",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2020",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2021",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2022",39.50
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2023",38.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2024",38.00
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2015",175.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2016",186.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2017",200.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2018",187.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2019",186.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2020",176.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2021",176.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2022",175.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2023",173.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","All","2024",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2015",175.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2016",186.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2017",200.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2018",187.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2019",186.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2020",176.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2021",176.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2022",175.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2023",173.00
"Canada","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2015",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2016",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2017",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2018",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2019",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2020",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2021",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2022",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2023",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","All","2024",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2015",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2016",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2017",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2018",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2019",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2021",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2022",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2023",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2024",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2015",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2016",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2017",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2018",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2019",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2020",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2021",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2022",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2023",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","All","2024",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2015",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2016",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2017",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2018",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2019",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2020",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2021",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2022",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2023",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2015",193.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2016",179.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2017",218.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2018",212.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2019",251.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2020",262.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2021",367.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2022",365.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2023",352.00
"Canada","Biogas","Electricity Installed Capacity (MW)","All","2024",352.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2015",193.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2016",179.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2017",218.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2018",212.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2019",251.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2020",262.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2021",367.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2022",365.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2023",352.00
"Canada","Biogas","Electricity Installed Capacity (MW)","On-grid","2024",352.00
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Biogas","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Biogas","Electricity Generation (GWh)","All","2015",1534.00
"Canada","Biogas","Electricity Generation (GWh)","All","2016",1427.00
"Canada","Biogas","Electricity Generation (GWh)","All","2017",1451.00
"Canada","Biogas","Electricity Generation (GWh)","All","2018",1408.00
"Canada","Biogas","Electricity Generation (GWh)","All","2019",1378.00
"Canada","Biogas","Electricity Generation (GWh)","All","2020",1387.00
"Canada","Biogas","Electricity Generation (GWh)","All","2021",1935.00
"Canada","Biogas","Electricity Generation (GWh)","All","2022",1925.00
"Canada","Biogas","Electricity Generation (GWh)","All","2023",1924.00
"Canada","Biogas","Electricity Generation (GWh)","All","2024",-
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2015",1534.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2016",1427.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2017",1451.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2018",1408.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2019",1378.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2020",1387.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2021",1935.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2022",1925.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2023",1924.00
"Canada","Biogas","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Biogas","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Geothermal energy","Electricity Installed Capacity (MW)","All","2015",-
"Canada","Geothermal energy","Electricity Installed Capacity (MW)","All","2016",-
